property_id,check_in_date,room_category,successful_bookings,capacity,revenue,occupancy_percentage,day_of_week,day_type
16562,2022-05-02,RT2,21,43,2100,48.837209302325576,Monday,Weekday
16561,2022-05-02,RT2,16,24,1600,66.66666666666666,Monday,Weekday
16558,2022-05-02,RT2,14,22,1400,63.63636363636363,Monday,Weekday
19560,2022-05-02,RT2,21,38,2100,55.26315789473685,Monday,Weekday
16563,2022-05-02,RT2,23,38,2300,60.526315789473685,Monday,Weekday
16559,2022-05-02,RT2,23,41,2300,56.09756097560976,Monday,Weekday
19559,2022-05-02,RT2,19,41,1900,46.34146341463415,Monday,Weekday
19558,2022-05-02,RT2,17,39,1700,43.58974358974359,Monday,Weekday
17559,2022-05-02,RT2,26,39,2600,66.66666666666666,Monday,Weekday
16560,2022-05-02,RT2,17,34,1700,50.0,Monday,Weekday
18562,2022-05-02,RT2,17,34,1700,50.0,Monday,Weekday
18559,2022-05-02,RT2,18,44,1800,40.909090909090914,Monday,Weekday
17563,2022-05-02,RT2,28,44,2800,63.63636363636363,Monday,Weekday
17562,2022-05-02,RT2,14,30,1400,46.666666666666664,Monday,Weekday
18558,2022-05-02,RT2,14,30,1400,46.666666666666664,Monday,Weekday
17564,2022-05-02,RT2,16,40,1600,40.0,Monday,Weekday
18561,2022-05-02,RT2,25,40,2500,62.5,Monday,Weekday
18560,2022-05-02,RT2,26,40,2600,65.0,Monday,Weekday
17560,2022-05-02,RT2,23,45,2300,51.11111111111111,Monday,Weekday
19561,2022-05-02,RT2,22,45,2200,48.888888888888886,Monday,Weekday
19563,2022-05-02,RT2,20,45,2000,44.44444444444444,Monday,Weekday
19563,2022-05-02,RT3,14,29,1400,48.275862068965516,Monday,Weekday
19562,2022-05-02,RT3,18,29,1800,62.06896551724138,Monday,Weekday
19561,2022-05-02,RT3,17,29,1700,58.620689655172406,Monday,Weekday
18562,2022-05-02,RT3,18,29,1800,62.06896551724138,Monday,Weekday
17558,2022-05-02,RT3,12,27,1200,44.44444444444444,Monday,Weekday
17562,2022-05-02,RT3,12,27,1200,44.44444444444444,Monday,Weekday
19559,2022-05-02,RT3,14,27,1400,51.85185185185185,Monday,Weekday
16559,2022-05-02,RT3,20,32,2000,62.5,Monday,Weekday
16558,2022-05-02,RT3,5,8,500,62.5,Monday,Weekday
18561,2022-05-02,RT3,18,25,1800,72.0,Monday,Weekday
18558,2022-05-02,RT3,15,26,1500,57.692307692307686,Monday,Weekday
16561,2022-05-02,RT3,13,21,1300,61.904761904761905,Monday,Weekday
16563,2022-05-02,RT3,13,20,1300,65.0,Monday,Weekday
17560,2022-05-02,RT3,13,25,1300,52.0,Monday,Weekday
18560,2022-05-02,RT3,14,24,1400,58.333333333333336,Monday,Weekday
17559,2022-05-02,RT3,9,16,900,56.25,Monday,Weekday
17563,2022-05-02,RT3,9,16,900,56.25,Monday,Weekday
18559,2022-05-02,RT3,9,23,900,39.130434782608695,Monday,Weekday
19558,2022-05-02,RT3,9,21,900,42.857142857142854,Monday,Weekday
17564,2022-05-02,RT3,9,24,900,37.5,Monday,Weekday
16560,2022-05-02,RT3,10,20,1000,50.0,Monday,Weekday
17561,2022-05-02,RT3,10,19,1000,52.63157894736842,Monday,Weekday
16562,2022-05-02,RT3,11,18,1100,61.111111111111114,Monday,Weekday
18563,2022-05-02,RT3,11,23,1100,47.82608695652174,Monday,Weekday
19560,2022-05-02,RT3,11,19,1100,57.89473684210527,Monday,Weekday
19559,2022-05-02,RT4,2,3,200,66.66666666666666,Monday,Weekday
16558,2022-05-02,RT4,2,3,200,66.66666666666666,Monday,Weekday
17558,2022-05-02,RT4,4,6,400,66.66666666666666,Monday,Weekday
19563,2022-05-02,RT4,4,6,400,66.66666666666666,Monday,Weekday
19558,2022-05-02,RT4,4,7,400,57.14285714285714,Monday,Weekday
19561,2022-05-02,RT4,4,7,400,57.14285714285714,Monday,Weekday
18561,2022-05-02,RT4,5,9,500,55.55555555555556,Monday,Weekday
16561,2022-05-02,RT4,6,10,600,60.0,Monday,Weekday
17560,2022-05-02,RT4,6,13,600,46.15384615384615,Monday,Weekday
17564,2022-05-02,RT4,6,17,600,35.294117647058826,Monday,Weekday
18560,2022-05-02,RT4,11,15,1100,73.33333333333333,Monday,Weekday
19560,2022-05-02,RT4,11,16,1100,68.75,Monday,Weekday
18559,2022-05-02,RT4,9,19,900,47.368421052631575,Monday,Weekday
17563,2022-05-02,RT4,12,19,1200,63.1578947368421,Monday,Weekday
19562,2022-05-02,RT4,8,14,800,57.14285714285714,Monday,Weekday
17559,2022-05-02,RT4,8,14,800,57.14285714285714,Monday,Weekday
18558,2022-05-02,RT4,10,20,1000,50.0,Monday,Weekday
18562,2022-05-02,RT4,12,20,1200,60.0,Monday,Weekday
18563,2022-05-02,RT4,11,18,1100,61.111111111111114,Monday,Weekday
16563,2022-05-02,RT4,12,18,1200,66.66666666666666,Monday,Weekday
16559,2022-05-02,RT4,12,18,1200,66.66666666666666,Monday,Weekday
16562,2022-05-02,RT4,3,6,300,50.0,Monday,Weekday
17562,2022-05-02,RT4,3,6,300,50.0,Monday,Weekday
16560,2022-05-02,RT4,3,7,300,42.857142857142854,Monday,Weekday
17561,2022-05-02,RT4,3,4,300,75.0,Monday,Weekday
19563,2022-05-03,RT3,15,29,1500,51.724137931034484,Tuesday,Weekday
16559,2022-05-03,RT1,17,30,1700,56.666666666666664,Tuesday,Weekday
18560,2022-05-03,RT1,19,30,1900,63.33333333333333,Tuesday,Weekday
19562,2022-05-03,RT1,19,30,1900,63.33333333333333,Tuesday,Weekday
19563,2022-05-03,RT1,15,30,1500,50.0,Tuesday,Weekday
17558,2022-05-03,RT1,9,19,900,47.368421052631575,Tuesday,Weekday
16558,2022-05-03,RT1,14,19,1400,73.68421052631578,Tuesday,Weekday
17560,2022-05-03,RT1,19,40,1900,47.5,Tuesday,Weekday
19558,2022-05-03,RT1,20,40,2000,50.0,Tuesday,Weekday
19560,2022-05-03,RT1,14,26,1400,53.84615384615385,Tuesday,Weekday
17561,2022-05-03,RT1,16,26,1600,61.53846153846154,Tuesday,Weekday
16560,2022-05-03,RT1,19,34,1900,55.88235294117647,Tuesday,Weekday
16561,2022-05-03,RT1,10,18,1000,55.55555555555556,Tuesday,Weekday
16562,2022-05-03,RT1,14,31,1400,45.16129032258064,Tuesday,Weekday
16563,2022-05-03,RT1,25,41,2500,60.97560975609756,Tuesday,Weekday
17559,2022-05-03,RT1,20,32,2000,62.5,Tuesday,Weekday
17562,2022-05-03,RT1,10,20,1000,50.0,Tuesday,Weekday
17563,2022-05-03,RT1,16,25,1600,64.0,Tuesday,Weekday
18558,2022-05-03,RT1,8,15,800,53.333333333333336,Tuesday,Weekday
18559,2022-05-03,RT1,18,42,1800,42.857142857142854,Tuesday,Weekday
18561,2022-05-03,RT1,19,33,1900,57.57575757575758,Tuesday,Weekday
18562,2022-05-03,RT1,23,38,2300,60.526315789473685,Tuesday,Weekday
18563,2022-05-03,RT1,13,27,1300,48.148148148148145,Tuesday,Weekday
19559,2022-05-03,RT1,12,24,1200,50.0,Tuesday,Weekday
19561,2022-05-03,RT1,20,36,2000,55.55555555555556,Tuesday,Weekday
17564,2022-05-03,RT1,6,16,600,37.5,Tuesday,Weekday
19562,2022-05-03,RT2,14,23,1400,60.86956521739131,Tuesday,Weekday
18563,2022-05-03,RT2,14,29,1400,48.275862068965516,Tuesday,Weekday
17561,2022-05-03,RT2,23,36,2300,63.888888888888886,Tuesday,Weekday
17558,2022-05-03,RT2,26,50,2600,52.0,Tuesday,Weekday
16562,2022-05-03,RT2,19,43,1900,44.18604651162791,Tuesday,Weekday
16561,2022-05-03,RT2,16,24,1600,66.66666666666666,Tuesday,Weekday
16558,2022-05-03,RT2,14,22,1400,63.63636363636363,Tuesday,Weekday
19560,2022-05-03,RT2,25,38,2500,65.78947368421053,Tuesday,Weekday
16563,2022-05-03,RT2,24,38,2400,63.1578947368421,Tuesday,Weekday
16559,2022-05-03,RT2,26,41,2600,63.41463414634146,Tuesday,Weekday
19559,2022-05-03,RT2,22,41,2200,53.65853658536586,Tuesday,Weekday
19558,2022-05-03,RT2,16,39,1600,41.02564102564102,Tuesday,Weekday
17559,2022-05-03,RT2,24,39,2400,61.53846153846154,Tuesday,Weekday
16560,2022-05-03,RT2,16,34,1600,47.05882352941176,Tuesday,Weekday
18562,2022-05-03,RT2,22,34,2200,64.70588235294117,Tuesday,Weekday
18559,2022-05-03,RT2,19,44,1900,43.18181818181818,Tuesday,Weekday
17563,2022-05-03,RT2,30,44,3000,68.18181818181817,Tuesday,Weekday
17562,2022-05-03,RT2,15,30,1500,50.0,Tuesday,Weekday
18558,2022-05-03,RT2,16,30,1600,53.333333333333336,Tuesday,Weekday
17564,2022-05-03,RT2,16,40,1600,40.0,Tuesday,Weekday
18561,2022-05-03,RT2,25,40,2500,62.5,Tuesday,Weekday
18560,2022-05-03,RT2,25,40,2500,62.5,Tuesday,Weekday
17560,2022-05-03,RT2,22,45,2200,48.888888888888886,Tuesday,Weekday
19561,2022-05-03,RT2,21,45,2100,46.666666666666664,Tuesday,Weekday
19563,2022-05-03,RT2,23,45,2300,51.11111111111111,Tuesday,Weekday
19562,2022-05-03,RT3,18,29,1800,62.06896551724138,Tuesday,Weekday
19561,2022-05-03,RT3,14,29,1400,48.275862068965516,Tuesday,Weekday
18562,2022-05-03,RT3,17,29,1700,58.620689655172406,Tuesday,Weekday
17558,2022-05-03,RT3,15,27,1500,55.55555555555556,Tuesday,Weekday
17562,2022-05-03,RT3,12,27,1200,44.44444444444444,Tuesday,Weekday
19559,2022-05-03,RT3,14,27,1400,51.85185185185185,Tuesday,Weekday
16559,2022-05-03,RT3,21,32,2100,65.625,Tuesday,Weekday
16558,2022-05-03,RT3,5,8,500,62.5,Tuesday,Weekday
18561,2022-05-03,RT3,15,25,1500,60.0,Tuesday,Weekday
18560,2022-05-03,RT3,15,24,1500,62.5,Tuesday,Weekday
16562,2022-05-03,RT3,8,18,800,44.44444444444444,Tuesday,Weekday
16561,2022-05-03,RT3,13,21,1300,61.904761904761905,Tuesday,Weekday
16563,2022-05-03,RT3,13,20,1300,65.0,Tuesday,Weekday
18558,2022-05-03,RT3,13,26,1300,50.0,Tuesday,Weekday
18559,2022-05-03,RT3,9,23,900,39.130434782608695,Tuesday,Weekday
19558,2022-05-03,RT3,9,21,900,42.857142857142854,Tuesday,Weekday
16560,2022-05-03,RT3,10,20,1000,50.0,Tuesday,Weekday
17559,2022-05-03,RT3,10,16,1000,62.5,Tuesday,Weekday
17563,2022-05-03,RT3,10,16,1000,62.5,Tuesday,Weekday
17561,2022-05-03,RT3,12,19,1200,63.1578947368421,Tuesday,Weekday
19560,2022-05-03,RT3,12,19,1200,63.1578947368421,Tuesday,Weekday
17560,2022-05-03,RT3,11,25,1100,44.0,Tuesday,Weekday
18563,2022-05-03,RT3,11,23,1100,47.82608695652174,Tuesday,Weekday
17564,2022-05-03,RT3,11,24,1100,45.83333333333333,Tuesday,Weekday
17562,2022-05-03,RT4,2,6,200,33.33333333333333,Tuesday,Weekday
16558,2022-05-03,RT4,2,3,200,66.66666666666666,Tuesday,Weekday
19563,2022-05-03,RT4,4,6,400,66.66666666666666,Tuesday,Weekday
19561,2022-05-03,RT4,4,7,400,57.14285714285714,Tuesday,Weekday
18561,2022-05-03,RT4,5,9,500,55.55555555555556,Tuesday,Weekday
16561,2022-05-03,RT4,7,10,700,70.0,Tuesday,Weekday
17560,2022-05-03,RT4,7,13,700,53.84615384615385,Tuesday,Weekday
19559,2022-05-03,RT4,1,3,100,33.33333333333333,Tuesday,Weekday
17564,2022-05-03,RT4,7,17,700,41.17647058823529,Tuesday,Weekday
18560,2022-05-03,RT4,9,15,900,60.0,Tuesday,Weekday
19560,2022-05-03,RT4,10,16,1000,62.5,Tuesday,Weekday
18559,2022-05-03,RT4,9,19,900,47.368421052631575,Tuesday,Weekday
17563,2022-05-03,RT4,11,19,1100,57.89473684210527,Tuesday,Weekday
19562,2022-05-03,RT4,9,14,900,64.28571428571429,Tuesday,Weekday
17559,2022-05-03,RT4,10,14,1000,71.42857142857143,Tuesday,Weekday
18558,2022-05-03,RT4,10,20,1000,50.0,Tuesday,Weekday
18562,2022-05-03,RT4,12,20,1200,60.0,Tuesday,Weekday
18563,2022-05-03,RT4,8,18,800,44.44444444444444,Tuesday,Weekday
16563,2022-05-03,RT4,11,18,1100,61.111111111111114,Tuesday,Weekday
16559,2022-05-03,RT4,11,18,1100,61.111111111111114,Tuesday,Weekday
16562,2022-05-03,RT4,3,6,300,50.0,Tuesday,Weekday
17558,2022-05-03,RT4,3,6,300,50.0,Tuesday,Weekday
16560,2022-05-03,RT4,3,7,300,42.857142857142854,Tuesday,Weekday
19558,2022-05-03,RT4,3,7,300,42.857142857142854,Tuesday,Weekday
17561,2022-05-03,RT4,3,4,300,75.0,Tuesday,Weekday
19563,2022-05-04,RT3,15,29,1500,51.724137931034484,Wednesday,Weekday
18560,2022-05-04,RT1,20,30,2000,66.66666666666666,Wednesday,Weekday
19562,2022-05-04,RT1,17,30,1700,56.666666666666664,Wednesday,Weekday
19563,2022-05-04,RT1,14,30,1400,46.666666666666664,Wednesday,Weekday
17558,2022-05-04,RT1,9,19,900,47.368421052631575,Wednesday,Weekday
16558,2022-05-04,RT1,13,19,1300,68.42105263157895,Wednesday,Weekday
17560,2022-05-04,RT1,22,40,2200,55.00000000000001,Wednesday,Weekday
19558,2022-05-04,RT1,15,40,1500,37.5,Wednesday,Weekday
19560,2022-05-04,RT1,16,26,1600,61.53846153846154,Wednesday,Weekday
17561,2022-05-04,RT1,15,26,1500,57.692307692307686,Wednesday,Weekday
16560,2022-05-04,RT1,17,34,1700,50.0,Wednesday,Weekday
16561,2022-05-04,RT1,11,18,1100,61.111111111111114,Wednesday,Weekday
16562,2022-05-04,RT1,16,31,1600,51.61290322580645,Wednesday,Weekday
16563,2022-05-04,RT1,28,41,2800,68.29268292682927,Wednesday,Weekday
17559,2022-05-04,RT1,19,32,1900,59.375,Wednesday,Weekday
17562,2022-05-04,RT1,9,20,900,45.0,Wednesday,Weekday
17563,2022-05-04,RT1,16,25,1600,64.0,Wednesday,Weekday
18558,2022-05-04,RT1,7,15,700,46.666666666666664,Wednesday,Weekday
18559,2022-05-04,RT1,18,42,1800,42.857142857142854,Wednesday,Weekday
18561,2022-05-04,RT1,22,33,2200,66.66666666666666,Wednesday,Weekday
18562,2022-05-04,RT1,25,38,2500,65.78947368421053,Wednesday,Weekday
18563,2022-05-04,RT1,16,27,1600,59.25925925925925,Wednesday,Weekday
19559,2022-05-04,RT1,12,24,1200,50.0,Wednesday,Weekday
19561,2022-05-04,RT1,16,36,1600,44.44444444444444,Wednesday,Weekday
17564,2022-05-04,RT1,7,16,700,43.75,Wednesday,Weekday
19562,2022-05-04,RT2,14,23,1400,60.86956521739131,Wednesday,Weekday
18563,2022-05-04,RT2,16,29,1600,55.172413793103445,Wednesday,Weekday
17561,2022-05-04,RT2,21,36,2100,58.333333333333336,Wednesday,Weekday
17558,2022-05-04,RT2,27,50,2700,54.0,Wednesday,Weekday
16562,2022-05-04,RT2,21,43,2100,48.837209302325576,Wednesday,Weekday
16561,2022-05-04,RT2,15,24,1500,62.5,Wednesday,Weekday
16558,2022-05-04,RT2,14,22,1400,63.63636363636363,Wednesday,Weekday
19560,2022-05-04,RT2,21,38,2100,55.26315789473685,Wednesday,Weekday
16563,2022-05-04,RT2,23,38,2300,60.526315789473685,Wednesday,Weekday
16559,2022-05-04,RT2,28,41,2800,68.29268292682927,Wednesday,Weekday
19559,2022-05-04,RT2,22,41,2200,53.65853658536586,Wednesday,Weekday
19558,2022-05-04,RT2,18,39,1800,46.15384615384615,Wednesday,Weekday
17559,2022-05-04,RT2,23,39,2300,58.97435897435898,Wednesday,Weekday
16560,2022-05-04,RT2,20,34,2000,58.82352941176471,Wednesday,Weekday
18562,2022-05-04,RT2,22,34,2200,64.70588235294117,Wednesday,Weekday
18559,2022-05-04,RT2,19,44,1900,43.18181818181818,Wednesday,Weekday
17563,2022-05-04,RT2,29,44,2900,65.9090909090909,Wednesday,Weekday
17562,2022-05-04,RT2,11,30,1100,36.666666666666664,Wednesday,Weekday
18558,2022-05-04,RT2,16,30,1600,53.333333333333336,Wednesday,Weekday
17564,2022-05-04,RT2,18,40,1800,45.0,Wednesday,Weekday
18561,2022-05-04,RT2,25,40,2500,62.5,Wednesday,Weekday
18560,2022-05-04,RT2,28,40,2800,70.0,Wednesday,Weekday
17560,2022-05-04,RT2,20,45,2000,44.44444444444444,Wednesday,Weekday
19561,2022-05-04,RT2,21,45,2100,46.666666666666664,Wednesday,Weekday
19563,2022-05-04,RT2,20,45,2000,44.44444444444444,Wednesday,Weekday
16559,2022-05-04,RT1,21,30,2100,70.0,Wednesday,Weekday
19562,2022-05-04,RT3,20,29,2000,68.96551724137932,Wednesday,Weekday
19561,2022-05-04,RT3,13,29,1300,44.827586206896555,Wednesday,Weekday
18562,2022-05-04,RT3,16,29,1600,55.172413793103445,Wednesday,Weekday
17558,2022-05-04,RT3,12,27,1200,44.44444444444444,Wednesday,Weekday
17562,2022-05-04,RT3,9,27,900,33.33333333333333,Wednesday,Weekday
19559,2022-05-04,RT3,14,27,1400,51.85185185185185,Wednesday,Weekday
16559,2022-05-04,RT3,19,32,1900,59.375,Wednesday,Weekday
16558,2022-05-04,RT3,6,8,600,75.0,Wednesday,Weekday
18561,2022-05-04,RT3,16,25,1600,64.0,Wednesday,Weekday
18560,2022-05-04,RT3,17,24,1700,70.83333333333334,Wednesday,Weekday
17563,2022-05-04,RT3,8,16,800,50.0,Wednesday,Weekday
17564,2022-05-04,RT3,8,24,800,33.33333333333333,Wednesday,Weekday
16561,2022-05-04,RT3,14,21,1400,66.66666666666666,Wednesday,Weekday
17560,2022-05-04,RT3,14,25,1400,56.00000000000001,Wednesday,Weekday
18558,2022-05-04,RT3,14,26,1400,53.84615384615385,Wednesday,Weekday
19558,2022-05-04,RT3,9,21,900,42.857142857142854,Wednesday,Weekday
